O*NET-SOC Code,알기,짜기,꺼내기,다루기,돌보기,이끌기,Title
17-2072.01,3.595999999999999,3.383333333333333,3.7350000000000003,2.17,2.778,2.9923076923076914,Radio Frequency Identification Device Specialists
17-2081.00,3.720666666666667,3.7533333333333334,3.8049999999999997,2.0716666666666668,3.396,3.4376923076923074,Environmental Engineers
17-2111.00,3.594666666666667,3.431666666666666,3.105,2.348333333333333,3.382,3.2846153846153845,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
17-2111.02,3.6719999999999993,3.391666666666667,3.96,1.833333333333333,3.136,3.290769230769231,Fire-Prevention and Protection Engineers
17-2112.00,3.5620000000000003,2.983333333333334,3.86,2.555,2.442,2.5861538461538465,Industrial Engineers
17-2112.01,3.6279999999999997,3.2816666666666663,3.1500000000000004,2.1016666666666666,3.1,3.1276923076923078,Human Factors Engineers and Ergonomists
17-2112.02,3.74,3.1683333333333334,2.6950000000000003,1.9866666666666666,2.702,2.858461538461538,Validation Engineers
17-2112.03,3.675333333333333,3.231666666666667,3.9450000000000003,2.57,2.67,3.0307692307692307,Manufacturing Engineers
17-2121.00,3.503333333333333,3.151666666666667,3.605,2.5833333333333335,2.946,2.715384615384615,Marine Engineers and Naval Architects
17-2131.00,3.6879999999999997,2.98,3.46,2.1533333333333333,2.576,2.7446153846153853,Materials Engineers
17-2141.00,3.677333333333334,3.0666666666666664,4.640000000000001,2.3466666666666667,2.7079999999999997,2.666153846153846,Mechanical Engineers
17-2141.01,3.7893333333333334,3.2600000000000002,3.565,2.6,2.758,2.956153846153846,Fuel Cell Engineers
17-2141.02,3.7900000000000005,3.3516666666666666,3.57,2.421666666666667,2.72,3.031538461538462,Automotive Engineers
17-2151.00,3.6680000000000006,3.5766666666666667,3.34,1.8883333333333334,2.998,3.1623076923076923,"Mining and Geological Engineers, Including Mining Safety Engineers"
17-2161.00,3.777333333333333,3.22,3.455,2.02,2.976,3.0892307692307694,Nuclear Engineers
17-2171.00,3.6733333333333333,3.7900000000000005,3.465,1.4600000000000002,2.46,3.0938461538461537,Petroleum Engineers
17-2199.03,3.694,3.228333333333333,3.25,2.041666666666667,2.7600000000000002,2.8230769230769233,"Energy Engineers, Except Wind and Solar"
17-2199.05,3.601333333333334,3.028333333333333,4.295,2.2049999999999996,2.602,2.6738461538461538,Mechatronics Engineers
17-2199.06,3.6373333333333333,2.8533333333333335,3.995,2.5433333333333334,2.412,2.490769230769231,Microsystems Engineers
17-2199.07,3.7326666666666664,2.9250000000000003,4.0,2.3183333333333334,2.3920000000000003,2.636153846153846,Photonics Engineers
17-2199.08,3.9440000000000004,3.4633333333333334,4.35,3.035,2.836,3.05,Robotics Engineers
17-2199.09,3.843333333333333,3.125,3.765,2.7100000000000004,3.19,3.0915384615384616,Nanosystems Engineers
17-2199.10,3.654666666666666,3.1566666666666667,3.415,2.1316666666666664,2.694,2.89,Wind Energy Engineers
17-2199.11,3.555333333333334,3.345,3.54,2.578333333333333,2.904,2.9899999999999998,Solar Energy Systems Engineers
17-3011.00,3.572666666666666,3.328333333333333,4.225,1.8633333333333333,3.0100000000000002,3.0746153846153845,Architectural and Civil Drafters
17-3012.00,3.4886666666666666,2.901666666666667,3.895,1.915,2.27,2.133846153846154,Electrical and Electronics Drafters
17-3013.00,3.204,2.475,4.0649999999999995,1.8116666666666665,1.8080000000000003,1.7669230769230768,Mechanical Drafters
17-3021.00,3.686000000000001,3.058333333333333,3.135,2.703333333333333,2.216,2.4384615384615382,Aerospace Engineering and Operations Technologists and Technicians
17-3022.00,3.484666666666667,2.9483333333333337,3.495,1.928333333333333,2.572,2.3176923076923077,Civil Engineering Technologists and Technicians
17-3023.00,3.5373333333333337,2.481666666666667,3.21,3.1566666666666663,2.334,2.106923076923077,Electrical and Electronic Engineering Technologists and Technicians
17-3024.00,3.477333333333333,2.845,3.3099999999999996,3.4933333333333336,2.7399999999999998,2.5330769230769232,Electro-Mechanical and Mechatronics Technologists and Technicians
17-3024.01,3.715333333333333,2.91,3.685,3.561666666666666,2.538,2.4953846153846153,Robotics Technicians
17-3025.00,3.1526666666666667,2.841666666666667,2.75,2.6799999999999997,2.5580000000000003,2.2823076923076924,Environmental Engineering Technologists and Technicians
17-3026.00,3.4460000000000006,2.9333333333333336,3.135,2.6133333333333333,2.5100000000000002,2.529230769230769,Industrial Engineering Technologists and Technicians
17-3026.01,3.921333333333334,3.31,3.34,3.16,3.35,2.9815384615384612,Nanotechnology Engineering Technologists and Technicians
17-3027.00,3.6746666666666665,3.125,3.785,3.1316666666666673,2.744,2.737692307692307,Mechanical Engineering Technologists and Technicians
